commit	R@1	R@3	R@5	MRR	AR@5	latency	status	description
07fbf4f	0.70	0.88	0.92	0.794	1.00	0.2s	baseline	baseline — hybrid + cross-encoder (155 cases)
07fbf4f	0.96	0.99	0.99	0.974	1.00	0.1s	keep	hard-negative reranker training — 1679 samples (237 from eval failures)
base-CE	0.56	0.87	0.94	0.714	1.00	0.3s	baseline	v2 benchmark (86 hard cases) — base CE no fine-tuning
LLM-rerank	0.60	0.83	0.93	0.723	1.00	7.7s	experiment	LLM reranker (Qwen3.5-4B) zero training
LLM+decompose	0.41	0.79	0.90	0.607	1.00	7.1s	discard	decompose hurts — 4B model splits queries badly
LLM+rewrite	0.53	0.77	0.87	0.667	1.00	7.4s	discard	rewrite hurts temporal/KU categories
CE+augment	0.56	0.91	0.94	0.715	1.00	2.2s	discard	augmented reranking — no improvement over base CE
no-rerank	0.48	0.74	0.84	0.616	1.00	0.0s	discard	pure hybrid retrieval, no reranker
ft-CE-c1	0.87	0.98	0.99	0.925	1.00	0.2s	keep	fine-tuned CE cycle 1 (from 38 base failures)
ft-CE-c2	0.93	0.99	0.99	0.959	1.00	0.2s	keep	fine-tuned CE cycle 2 (cumulative 47 failures)
ft-CE-c3	0.99	0.99	0.99	0.988	1.00	0.2s	keep	fine-tuned CE cycle 3 (cumulative 48 failures) — BEST
